                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.86714,                0.71735,                 1.1224,                0.87629,                0.86587,                0.90857,                0.74687,                0.81321,                0.61546,                 1.0622,               0.008878,               0.008878,               0.008878
                     37,                0.85955,                0.70597,                 1.1182,                0.91623,                0.88866,                 0.9376,                0.76003,                0.82602,                0.56273,                 1.0657,               0.008845,               0.008845,               0.008845
                     38,                0.86026,                0.70604,                 1.1188,                0.91022,                0.91011,                0.93556,                0.76146,                0.82423,                0.59422,                 1.0614,               0.008812,               0.008812,               0.008812
                     39,                0.85686,                0.70123,                 1.1118,                0.89039,                0.90784,                0.93276,                0.75927,                 0.8073,                 0.5531,                 1.0547,               0.008779,               0.008779,               0.008779
                     40,                0.86211,                0.69643,                 1.1165,                0.89725,                0.88802,                0.93589,                0.76167,                0.81551,                0.59673,                 1.0558,               0.008746,               0.008746,               0.008746
                     41,                 0.8628,                0.69778,                 1.1164,                0.91232,                0.88982,                0.93443,                0.75972,                0.79782,                0.56383,                 1.0418,               0.008713,               0.008713,               0.008713
                     42,                0.86278,                0.68427,                 1.1153,                 0.9017,                0.90038,                0.93932,                0.76591,                 0.7963,                0.53682,                 1.0591,                0.00868,                0.00868,                0.00868
                     43,                0.85706,                 0.6922,                  1.115,                0.85046,                0.91082,                0.92632,                0.76524,                0.78919,                0.55318,                 1.0504,               0.008647,               0.008647,               0.008647
                     44,                0.85263,                0.68171,                 1.1071,                0.90596,                0.88411,                0.93832,                0.77532,                0.79782,                0.59133,                 1.0537,               0.008614,               0.008614,               0.008614
                     45,                0.84267,                0.68253,                 1.1081,                0.90491,                0.91085,                0.93682,                0.75965,                0.80659,                0.54665,                 1.0609,               0.008581,               0.008581,               0.008581
