                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.1258,                 2.0076,                 1.0514,                 1.1965,                0.71863,                0.64179,                0.66171,                0.36304,                0.73807,                0.65672,                0.70002,                0.34049,                 1.6836,                 3.4326,                 1.3769,                 1.9205,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.1276,                 2.0477,                 1.0277,                 1.2134,                0.65619,                0.58209,                0.65022,                0.33922,                0.56421,                  0.715,                0.67234,                0.30981,                 1.6012,                 3.2204,                 1.4872,                 1.8028,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.1015,                 1.9568,                0.96545,                 1.1993,                0.77085,                0.50746,                0.62069,                 0.3384,                0.76012,                0.50746,                0.63018,                0.29882,                 1.5732,                 3.3082,                 1.5891,                 1.7056,              0.0010496,              0.0010496,              0.0010496
                     27,                  1.121,                 1.9245,                 1.0188,                 1.2208,                0.69501,                0.53731,                0.61538,                0.34308,                0.67324,                0.52239,                0.57951,                0.32544,                 1.6038,                 3.2508,                 1.6196,                 1.6725,                0.00101,                0.00101,                0.00101
                     28,                 1.0709,                  1.895,                0.97049,                 1.1977,                0.74684,                0.52239,                0.63517,                0.35634,                0.76959,                0.54842,                0.63732,                 0.3162,                 1.5501,                 3.0955,                 1.7218,                 1.6659,              0.0009704,              0.0009704,              0.0009704
                     29,                0.94898,                  1.801,                0.84999,                 1.1223,                0.59982,                0.62641,                0.64178,                0.34937,                 0.7115,                0.55214,                0.64193,                 0.3217,                 1.5298,                 2.9281,                 1.7661,                 1.6018,              0.0009308,              0.0009308,              0.0009308
                     30,                 1.0131,                 1.8415,                0.88246,                 1.1666,                0.68162,                0.68657,                0.72233,                0.37593,                0.66592,                0.67164,                0.68457,                0.34015,                  1.564,                 2.8602,                 1.4936,                 1.6323,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.0467,                 1.8762,                0.88968,                 1.1713,                0.68925,                0.62903,                0.66484,                0.35858,                0.72196,                0.65888,                 0.6885,                0.34074,                 1.4961,                 2.7074,                 1.5722,                 1.6188,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.1021,                 1.9848,                0.94376,                 1.2274,                0.65302,                0.61802,                0.61838,                0.33456,                0.68456,                0.64787,                0.65183,                0.31369,                 1.5091,                 2.6616,                 1.6238,                 1.5991,               0.000812,               0.000812,               0.000812
                     33,                 1.0628,                 1.8918,                0.89646,                 1.1811,                 0.7991,                0.59371,                0.73906,                0.41742,                0.81904,                0.60804,                0.74867,                0.35976,                 1.4834,                 2.6456,                 1.3615,                 1.5379,              0.0007724,              0.0007724,              0.0007724
                     34,                 1.0433,                  1.874,                0.88886,                 1.1762,                0.79062,                0.67164,                0.75948,                0.43964,                0.79062,                0.67164,                0.75103,                0.39543,                 1.5196,                 2.4783,                 1.2111,                 1.5235,              0.0007328,              0.0007328,              0.0007328
                     35,                0.93981,                 1.7643,                0.84465,                  1.112,                  0.745,                0.65412,                0.75458,                0.42369,                0.71816,                0.67164,                0.72337,                0.40115,                 1.5006,                 2.4343,                 1.2634,                 1.5151,              0.0006932,              0.0006932,              0.0006932
                     36,                0.93847,                 1.7606,                0.80542,                 1.1162,                0.63362,                0.68657,                0.69946,                0.38753,                0.61392,                0.68657,                0.69108,                0.39144,                 1.5292,                 2.4683,                 1.4439,                 1.5499,              0.0006536,              0.0006536,              0.0006536
                     37,                0.90586,                  1.734,                0.78769,                 1.0787,                0.62761,                0.70436,                0.71148,                0.41482,                0.76848,                0.62687,                0.70989,                0.40728,                  1.449,                 2.4419,                 1.3863,                 1.4847,               0.000614,               0.000614,               0.000614
                     38,                0.92382,                 1.7076,                0.79917,                 1.0927,                0.83981,                0.59701,                0.72769,                0.43234,                0.79883,                0.55224,                 0.6916,                0.39316,                 1.3795,                 2.4646,                 1.2749,                 1.4398,              0.0005744,              0.0005744,              0.0005744
                     39,                0.89196,                  1.663,                0.72889,                 1.0943,                0.75394,                0.62687,                0.73133,                 0.4129,                0.69709,                0.65672,                 0.6861,                0.40072,                   1.41,                 2.5631,                  1.358,                 1.4673,              0.0005348,              0.0005348,              0.0005348
                     40,                0.91792,                 1.6662,                0.75187,                 1.0994,                0.77554,                 0.6189,                0.71991,                0.42876,                 0.6991,                0.62687,                 0.6834,                0.39478,                 1.4037,                 2.7318,                 1.3665,                 1.4672,              0.0004952,              0.0004952,              0.0004952
                     41,                0.92967,                 1.8171,                 1.0415,                  1.128,                0.77659,                0.62687,                0.70369,                0.43209,                 0.7942,                0.61194,                 0.6865,                0.39615,                 1.3628,                 2.7619,                 1.3011,                 1.4533,              0.0004556,              0.0004556,              0.0004556
                     42,                0.92211,                 1.7548,                0.83015,                 1.0913,                0.70734,                0.67164,                0.72294,                0.42983,                0.72797,                0.59917,                0.67406,                0.39916,                 1.3529,                 2.6403,                  1.288,                 1.4452,               0.000416,               0.000416,               0.000416
                     43,                0.91093,                 1.7192,                0.80631,                 1.1298,                0.60478,                0.73134,                0.72034,                0.42645,                0.59244,                0.71642,                0.69899,                 0.4091,                 1.3294,                 2.4345,                 1.3332,                 1.4199,              0.0003764,              0.0003764,              0.0003764
                     44,                0.90443,                 1.6995,                0.82376,                 1.1397,                0.62051,                0.73216,                0.73676,                0.42679,                0.61379,                0.76119,                0.70743,                0.40959,                 1.3576,                 2.4388,                 1.2299,                 1.4345,              0.0003368,              0.0003368,              0.0003368
                     45,                0.88871,                  1.597,                0.75938,                 1.1005,                0.66005,                0.72452,                0.77323,                0.43506,                0.66976,                0.70149,                0.73391,                0.40493,                 1.3668,                 2.4887,                 1.1598,                 1.4273,              0.0002972,              0.0002972,              0.0002972
                     46,                0.86664,                 1.6208,                0.71679,                  1.083,                0.83383,                0.67406,                0.80624,                0.45832,                0.79782,                0.65672,                0.75939,                0.41059,                 1.3904,                 2.6544,                 1.0755,                 1.4431,              0.0002576,              0.0002576,              0.0002576
                     47,                0.83773,                 1.7073,                0.71507,                 1.0707,                 0.7809,                0.69158,                0.78323,                0.45713,                0.81482,                0.67164,                 0.7875,                 0.4217,                 1.3106,                 2.6048,                 1.0742,                 1.3893,               0.000218,               0.000218,               0.000218
                     48,                0.81919,                 1.6318,                0.67499,                 1.0519,                0.81331,                0.71526,                0.80323,                0.46595,                0.81331,                0.71526,                0.79373,                0.43528,                 1.3434,                   2.51,                 1.0792,                  1.442,              0.0001784,              0.0001784,              0.0001784
                     49,                 0.8299,                 1.6374,                0.70211,                 1.0561,                0.76301,                0.71642,                0.79541,                0.46102,                0.76301,                0.71642,                0.78796,                0.44051,                 1.3442,                 2.4784,                 1.0668,                 1.4438,              0.0001388,              0.0001388,              0.0001388
                     50,                0.81902,                 1.5847,                0.66685,                 1.0429,                0.75942,                0.74627,                0.80046,                0.47442,                0.74344,                0.73134,                0.78449,                0.44979,                 1.3244,                 2.4444,                 1.0429,                 1.4217,               9.92e-05,               9.92e-05,               9.92e-05
